상품명,옵션내용,현재고,미발송수,주문수,주문금액,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
하이가드 유아침대 아이비 (Ivy)용 범퍼가드,SS 에어튜브,147,148,,,0,0,0,0,0,0,0,0,0,213,1403,965
하이가드 유아침대 아이비 (Ivy)용 범퍼가드,SS 범퍼가드 (폴리) - 지퍼(신규),187,148,,,0,0,0,0,0,0,0,0,0,0,1009,978
에바다용 하이가드 유아침대 아이비 (Ivy),"SS 1 (통판트레이버전-통판, 사다리 리뉴얼) 라떼베이지",9,4,,,0,0,0,0,0,0,0,0,0,0,1,38
오름 하이체어,단일상품,121,2,,,0,0,0,0,0,0,0,0,0,0,566,531
"현대물류용 헤이(HEJ), 캠퍼(Camper) 공용 2층확장키트 SS",1번 - 소프트화이트/베이지 공용,9,11,,,0,0,0,0,0,0,0,0,0,0,15,39
"현대물류용 헤이(HEJ), 캠퍼(Camper) 공용 2층확장키트 SS",캠퍼용 짧은키트 (2개매칭),20,24,,,0,0,0,0,0,0,0,0,0,0,16,64
네티 플러스 (니스툴그로우 2in1 아기침대),소프트화이트&아몬드,20,6,,,0,0,0,0,0,0,0,0,0,0,441,186
유아용 매트리스 (70*132),에어플로우 매트리스 (70*132*11),100,36,,,0,0,0,0,0,0,0,0,0,0,0,381
아기 체중계*,DC5H(아기전용),2655,7,,,0,0,0,0,0,0,0,0,0,298,3496,2441
뉴트럴 메쉬백체어,오프화이트,441,78,,,0,0,0,0,0,0,5,3895,3448,3084,2204,1038
현대물류용 듀펜 매트리스 SS(110*200),14cm,36,39,,,0,0,0,0,0,0,88,114,98,216,468,246
에바다용 뉴트럴 플라이우드 데스크,프레임-오프화이트,18,20,,,0,0,0,0,0,0,0,537,573,498,357,111
현대물류용 캠퍼(Camper) 미드,캠퍼단층SS(통판버전) 라떼베이지 1번,8,8,,,0,0,0,0,0,0,0,0,0,0,10,39
"에바다용 헤이(HEJ), 캠퍼(Camper) 공용 2층확장키트 SS",1번 - 소프트화이트/베이지 공용,0,10,,,0,0,0,0,0,0,0,0,0,0,15,26
"에바다용 헤이(HEJ), 캠퍼(Camper) 공용 2층확장키트 SS",캠퍼용 짧은키트 (2개매칭),10,20,,,0,0,0,0,0,0,0,0,0,0,18,44
자체 캠퍼(Camper) 미드,캠퍼SS 미드확장키트 베이지(통판버전),23,5,,,0,0,0,0,0,0,0,0,0,0,21,32
톤온톤 책상장  1200,포인트-화이트(P2W),154,11,,,0,0,0,0,147,582,598,820,666,664,563,180
자체 캠퍼(Camper) 하이확장키트,캠퍼SS 하이 일자사다리,6,13,,,0,0,0,0,0,0,0,0,0,0,18,52
자체 헤이(HEJ) 단층침대 SS,"소프트화이트 2번(앞가드별도매칭, 모듈전체공용)",59,14,,,0,0,0,0,0,0,0,0,0,0,0,45
자체 헤이(HEJ) 단층침대 SS,"소프트화이트 1번(앞가드별도매칭, 모듈전체공용)",77,14,,,0,0,0,0,0,0,0,0,0,0,0,37
자체 헤이(HEJ) 미드확장키트 SS,소프트화이트,26,3,,,0,0,0,0,0,0,0,0,0,0,133,44
현대물류용 캠퍼(Camper) 하이확장키트,라떼베이지 1번,0,7,,,0,0,0,0,0,0,0,0,0,0,7,35
현대물류용 캠퍼(Camper) 하이확장키트,라떼베이지 2번,0,7,,,0,0,0,0,0,0,0,0,0,0,7,35
자체 캠퍼(Camper) 미드,캠퍼SS 미드 수납형 사다리 베이지,20,3,,,0,0,0,0,0,0,0,0,0,0,52,28
신생아침대 에그,화이트실버,444,22,,,0,0,0,0,0,0,0,0,0,0,332,357
"에바다용 헤이(HEJ), 캠퍼(Camper) 공용 2층확장키트 SS",2번 - 소프트화이트/베이지 공용,1,10,,,0,0,0,0,0,0,0,0,0,0,7,14
현대물류용 캠퍼(Camper) 하이확장키트,캠퍼SS 하이 수납형 사다리 라떼베이지,6,9,,,0,0,0,0,0,0,0,0,0,0,6,29
자체 헤이(HEJ) 하이확장키트 SS,소프트화이트 1번,39,8,,,0,0,0,0,0,0,0,0,0,0,75,98
자체 헤이(HEJ) 하이확장키트 SS,소프트화이트 2번,38,8,,,0,0,0,0,0,0,0,0,0,0,76,98
자체 헤이(HEJ) 단층침대 SS,베이지 1번,5,6,,,0,0,0,0,0,0,0,0,0,7,170,92
자체 헤이(HEJ) 단층침대 SS,베이지 2번,2,6,,,0,0,0,0,0,0,0,0,0,7,173,92
"현대물류용 헤이(HEJ), 캠퍼(Camper) 공용 2층확장키트 SS",2번 - 소프트화이트/베이지 공용,9,10,,,0,0,0,0,0,0,0,0,0,0,9,19
자체 헤이(HEJ) 단층침대 SS,소프트화이트 1번 (통판/트레이가드 버전),0,0,,,0,0,0,0,0,0,0,0,0,0,0,79
네티 플러스 (니스툴그로우 2in1 아기침대),소프트화이트&오크,13,4,,,0,0,0,0,0,0,0,0,0,0,134,98
톤온톤 책상장  1200,천지선반-그레이(H2G),34,10,,,0,0,0,0,0,0,218,1230,952,817,580,141
톤온톤 책상장  1200,뒷판-그레이(B2G),97,11,,,0,0,0,0,0,0,216,1229,951,818,580,149
