상품명,옵션내용,현재고,미발송수,주문수,주문금액,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3
사틴 누빔 매트리스 패드,"사이즈:ES, 색상:핑크",363,0,,,0,0,0,0,0,0,0,0,0,115,138,104,124,138,269,116,143,182,288,171,191,274,440,357,295,291,239,48,37,28,7,5,0,5,7,1,0,0,0,0,6,5,12,9,11,6,9,5,0
사틴 누빔 매트리스 패드,"사이즈:SS, 색상:블루",270,10,,,0,0,0,0,0,0,0,0,0,15,19,16,13,13,28,15,13,14,36,27,38,66,134,52,101,91,16,16,15,10,0,0,0,0,0,0,0,0,0,0,4,6,3,0,6,3,6,16,0
사틴 누빔 매트리스 패드,"사이즈:SS, 색상:퍼플",159,7,,,0,0,0,0,0,0,0,0,0,5,5,0,2,1,3,1,3,5,7,5,1,5,7,9,11,0,0,35,4,3,2,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,3,19,0
스틴스 완장,단일상품,63,13,,,0,0,0,0,0,9,243,183,320,312,563,348,429,574,951,445,422,540,745,513,813,1212,1929,1665,1299,1404,2006,1150,1220,1444,1283,655,633,529,803,574,515,495,696,373,348,161,140,69,45,13,18,5,0
톤온톤 책장용 와이어바스켓,H민트,37,4,,,0,0,0,0,0,0,0,0,0,0,0,185,340,356,812,385,316,412,929,374,376,480,868,611,672,551,713,299,325,305,248,100,87,69,114,39,56,73,110,104,163,52,18,0,1,0,0,1,0
B급 듀펜 매트리스 SS(110*200),B급 14cm,2,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,8,0,2,0,0,0,2,1,0,2,0
AS용 스페어 (공통-화이트워시/투톤),8번/16번/17번 (미드/벙커/하이),25,2,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1,0,0,1,4,3,1,0,1,1,3,4,4,2,1,0,2,1,2,1,1,1,0,2,0,1,0,0,0,1,0
AS용 스페어 (공통-화이트워시/투톤),10번/20번 (미드/벙커),72,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,0,1,1,0,2,1,0,0,3,2,1,0,1,2,3,1,3,1,2,2,0,2,3,0,1,1,2,0
안티 진드기커버 SS(110*200*35),블루,319,0,,,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,3,6,14,7,6,2,3,9,18,5,2,10,11,11,7,9,5,4,2,0,4,5,4,6,5,2,2,0,2,0,1,3,2,0
톤온톤 책장용 자석보드,단일상품,433,24,,,0,0,0,0,0,0,0,0,0,0,0,213,454,537,1232,542,415,655,1706,777,786,1035,1884,1362,1043,1240,1731,650,692,934,1198,349,322,364,794,294,283,343,669,233,247,330,544,169,176,244,289,94,2
톤온톤 책장용 펠트보드,펠트보드-레드,327,0,,,0,0,0,0,0,0,0,0,0,0,0,0,2,6,9,4,1,2,4,25,23,29,71,43,31,22,38,11,20,15,6,0,0,3,1,0,1,0,1,0,0,2,0,0,0,2,1,1,0
톤온톤 책장용 펠트보드,펠트보드-블루,4,2,,,0,0,0,0,0,0,0,0,0,0,0,3,11,98,268,105,108,153,386,188,224,282,432,248,162,222,312,127,118,87,31,12,5,12,11,4,6,7,6,2,6,3,4,0,14,23,51,16,0
톤온톤 책장용 펠트보드,펠트보드-핑크,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,27,124,375,169,140,217,483,247,236,291,475,300,237,258,354,123,125,132,41,16,6,6,10,4,4,7,5,4,1,3,4,2,14,27,39,1,0
톤온톤 책장용 펠트보드,밴드-블랙(차콜펠트보드-기본),723,5,,,0,0,0,0,0,0,0,0,0,0,0,4,136,347,602,228,195,323,806,280,286,418,710,433,294,347,465,184,165,134,71,19,2,8,15,4,5,2,5,6,3,2,6,1,1,2,12,10,0
톤온톤 책장용 펠트보드,밴드-블루 (펠트보드-블루),43,4,,,0,0,0,0,0,0,0,0,0,0,0,4,50,196,484,179,177,292,738,320,357,454,714,433,298,385,558,226,217,178,116,42,24,32,65,22,29,29,40,14,22,13,26,11,22,29,69,20,0
톤온톤 책장용 펠트보드,밴드-핑크 (펠트보드-퍼플),345,3,,,0,0,0,0,0,0,0,0,0,0,0,1,63,186,497,214,173,281,687,333,310,428,683,431,328,363,480,180,190,180,76,39,18,22,47,19,15,20,29,9,9,14,14,9,22,33,48,7,0
톤온톤 책장용 펠트보드,펠트보드-차콜,297,5,,,0,0,0,0,0,0,0,0,0,0,0,4,134,344,604,228,193,320,805,281,287,418,700,417,289,343,459,182,167,133,66,17,2,6,14,2,4,2,4,6,3,2,6,1,1,2,12,10,0
데스크 스크린용 밴드,그레이,24,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,135,89,80,92,186,92,82,89,141,72,77,70,93,48,36,43,121,41,41,36,61,15,27,23,41,20,18,12,22,5,0
AS용 스페어 (밤부체어),고무마개,45,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,4,14,2,17,6,4,14,12,16,25,20,16,8,16,14,4,3,5,9,7,15,9,0,4,3,4,3,0,2,0,8,9,0
